level_0,GATS6m,B08[C-N],RDF120p,Mor32s,pEC50
0,0.4289,1,4.914,-1.044,8.032
1,0.539,1,0.7623,-1.533,7.638
2,0.555,1,2.017,-1.087,7.509
3,0.5382,1,0.539,-1.514,7.469
4,0.5938,1,0.452,0.1475,7.469
5,0.4891,1,2.524,-2.025,7.337
6,0.5215,1,0.5416,-2.168,7.114
7,0.6137,1,1.104,-1.022,7.108
8,0.5449,1,2.179,-1.979,7.081
9,0.5452,1,2.468,-1.876,6.721
10,0.5436,1,4.098,-1.316,6.658
11,0.6072,1,1.691,-1.013,6.638
12,0.55,1,0.8349,-1.46,6.638
13,0.5835,1,0.6192,-1.841,6.337
14,0.614,1,4.11,-1.318,5.921
15,0.6065,1,0.6706,-1.328,5.638
16,0.6109,1,3.692,-1.37,5.62
17,0.5848,1,1.643,-1.435,5.377
18,0.6728,1,0.8946,-0.9077,5.357
19,0.6919,1,0.1694,-1.685,5.108
20,0.6583,0,0.9545,-1.124,4.886
21,0.6108,1,0.5465,-4.487,4.509
22,0.6948,0,0.00115,-1.452,4.092
23,0.6902,0,0.02921,-2.126,4.066
